Year,Deer Population (In Millions),,,,
1980,35.75,,,,
1981,35,,,,
1982,35,,,,
1983,35.5,,,,
1984,35,,,,
1985,36,,,,
1986,35.5,,,,
1987,35.5,,,,
1988,35,,,,
1989,35.75,,,,
1990,36,,,,
1991,35.8,,,,
1992,36,,,,
1993,36,,,,
1994,36.2,,,,
1995,36.5,,,,
1996,36.8,,,,
1997,37.1,,,,
1998,37.4,,,,
1999,37.7,,,,
2000,38.1,,,,
2001,37.85,,,,
2002,37.5,,,,
2003,37.1,,,,
2004,36.8,,,,
2005,36.4,,,,
2006,36.1,,,,
2007,35.75,,,,
2008,35.4,,,,
2009,35,,,,
2010,34.6,,,,
2011,34.2,,,,
2012,33.8,,,,
2013,33.5,,,,
2014,33.2,,,,
